"obs","words","count"
1174,"상품권",60
1175,"설계",60
1176,"모색",60
1177,"신용등급",60
1178,"진단",60
1179,"영향력",60
1180,"하라",60
1181,"상하",60
1182,"html5",60
1183,"파트너십",60
1184,"교환",60
1185,"세부",60
1186,"제정",60
1187,"p2p대출",60
1188,"수혜",59
1189,"무선",59
1190,"여행",59
1191,"불안감",59
1192,"시장점유율",59
1193,"네이버는",59
1194,"포럼",59
1195,"창구",59
1196,"영업점",59
1197,"해도",59
1198,"법령",59
1199,"쿠팡",59
1200,"항공권",59
1201,"이벤트",59
1202,"금융업자",59
1203,"표준화",59
1204,"수립",58
1205,"메모리",58
1206,"이내",58
1207,"대학",58
1208,"공공",58
1209,"반응",58
1210,"손실",58
1211,"손해",58
1212,"통보",58
1213,"간담회",58
1214,"나라",58
1215,"인터넷을",58
1216,"시럽",58
1217,"세칙",58
1218,"법안",58
1219,"프로세스",58
1220,"재무",58
1221,"이사회",58
1222,"전분",58
1223,"구분",58
1224,"신종",58
1225,"백화점",57
1226,"영업이익",57
1227,"연말",57
1228,"초점",57
1229,"삭제",57
1230,"펀딩",57
1231,"원격",57
1232,"일상",57
1233,"축소",57
1234,"실패",57
1235,"최저",57
1236,"kisa",57
1237,"기업용",57
1238,"불구",56
1239,"시설",56
1240,"실현",56
1241,"인사",56
1242,"포기",56
1243,"이하",56
1244,"택시",56
1245,"분산",56
1246,"의무화",56
1247,"출발",56
1248,"피플",56
1249,"버튼",55
1250,"조달",55
1251,"유명",55
1252,"특별",55
1253,"피해자",55
1254,"만족",55
1255,"임직원",55
1256,"그간",55
1257,"유형",55
1258,"정비",55
1259,"지금",55
1260,"내놨다",55
1261,"폭발적",55
1262,"저금리",55
1263,"api",55
1264,"예외",55
1265,"업자",55
1266,"지목",55
1267,"축적",55
1268,"금융계",55
1269,"신청서",55
1270,"의료",54
1271,"획기적",54
1272,"비씨카드",54
1273,"일종",54
1274,"커머스",54
1275,"변조",54
1276,"안방",54
1277,"테크",54
1278,"ssl",54
1279,"민영은행",54
1280,"단장",54
1281,"경영자",53
1282,"불만",53
1283,"명확",53
1284,"여전",53
1285,"자인",53
1286,"개혁",53
1287,"차례",53
1288,"유리",53
1289,"제안",53
1290,"미만",53
1291,"악용",53
1292,"박차",53
1293,"총영사관",53
1294,"텐센트와",53
1295,"합병",53
1296,"설명회",53
1297,"전자거래",53
1298,"환전",53
1299,"원화",53
1300,"여건",52
1301,"최적화",52
1302,"침해",52
1303,"혼란",52
1304,"가족",52
1305,"접점",52
1306,"당초",52
1307,"건전",52
1308,"은행계좌",52
1309,"내국인",52
1310,"역직",51
1311,"건설",51
1312,"전문인력",51
1313,"바코드",51
1314,"투입",51
1315,"공간",51
1316,"프리",51
1317,"긴급",51
1318,"유일",51
1319,"막대",51
1320,"협력사",51
1321,"독점",51
1322,"중점",51
1323,"저해",51
1324,"태스크",51
1325,"잠식",51
1326,"과장",51
1327,"길재식기자",51
1328,"고금리",51
1329,"인공지능",51
1330,"모바일뱅킹",51
1331,"가를",51
1332,"ssg",51
1333,"하락",50
1334,"탄생",50
1335,"소매",50
1336,"진정",50
1337,"가속화",50
1338,"덕분",50
1339,"모바일로",50
1340,"화두",50
1341,"이동",50
1342,"효율적",50
1343,"경쟁자",50
1344,"작동",50
1345,"위조",50
1346,"기념",50
1347,"중계",50
1348,"부위원장",50
